id,orden,año,fecha,Cargo,Nombre,fn,edad,Partido,Partido,Estado,fecha_endoso,link,
1,1,2020,19/08/2020,Presidente,Sebastián Piñera Echeñique,01/12/1949,71,Independiente,IND,sin info,,,
2,2,2020,19/08/2020,Ex Presidente,Eduardo Frei Ruiz-Tagle,24/06/1942,78,Partido Democrata Cristiano,DC,sin info,,,
3,2,2020,19/08/2020,Ex Presidente,Ricardo Froilán Lagos Escobar,02/03/1938,82,Partido por la Democracia,PPD,sin info,,,
4,2,2020,19/08/2020,Ex Presidente,Michelle Bachelet Jeria,29/09/1951,69,Partido Socialista,PS,sin info,,,
5,3,2020,18/08/2020,Ministro,Ignacio Briones Rojas,12/12/1972,48,Evolución Política,EVO,Apruebo,15/08/2020,La Tercera,
6,3,2020,18/08/2020,Ministro,Gloria de los Ángeles Hutt Hesse,31/01/1955,65,Evolución Política,EVO,Apruebo,15/08/2020,La Tercera,
7,3,2020,18/08/2020,Ministro,Karla Rubilar Barahona,17/04/1977,43,Independiente,IND,Apruebo,15/08/2020,La Tercera,
8,3,2020,18/08/2020,Ministro,María José Zaldívar Larraín,16/09/1975,45,Independiente,IND,Apruebo,15/08/2020,La Tercera,
9,3,2020,18/08/2020,Ministro,José Antonio Walker Prieto,28/06/1961,59,Independiente,IND,Apruebo,15/08/2020,La Tercera,
10,3,2020,18/08/2020,Ministro,Juan Carlos Jobet Eluchans,14/10/1975,45,Independiente,IND,Apruebo,15/08/2020,La Tercera,
11,3,2020,18/08/2020,Ministro,Consuelo Valdés Chadwick,09/10/1948,72,Independiente,IND,Apruebo,15/08/2020,La Tercera,
12,3,2020,18/08/2020,Ministro,Raúl Eugenio Figueroa Salas,21/03/1975,45,Independiente,IND,Rechazo,15/08/2020,La Tercera,
13,3,2020,18/08/2020,Ministro,Alfredo Germán Moreno Charme,04/08/1956,64,Independiente,IND,sin info,15/08/2020,La Tercera,
14,3,2020,18/08/2020,Ministro,Oscar Enrique Paris Mancilla,03/09/1948,72,Independiente,IND,sin info,15/08/2020,La Tercera,
15,3,2020,18/08/2020,Ministro,María Carolina Schmidt Zaldívar,09/09/1967,53,Independiente,IND,sin info,15/08/2020,La Tercera,
16,3,2020,18/08/2020,Ministro,Andrés Oscar Couve Correa,23/10/1968,52,Independiente,IND,sin info,15/08/2020,La Tercera,
