id,orden,Cargo,Nombre,fn,edad,Partido,Partido,registro,Candidato,fecha_endoso,link,link,
1,6,Diputado,Marcela Hernando,12/02/1960,61,Partido Radical Socialdemócrata,PR,1,C. Maldonado,23/12/2020,https://www.latercera.com/politica/noticia/radicales-proclaman-a-carlos-maldonado-como-su-candidato-presidencial/CDTWMT6TIVFYRIY32KQZVG3KFE/,.,
2,6,Diputado,Cosme Mellado,24/02/1960,61,Partido Radical Socialdemócrata,PR,1,C. Maldonado,23/12/2020,https://www.latercera.com/politica/noticia/radicales-proclaman-a-carlos-maldonado-como-su-candidato-presidencial/CDTWMT6TIVFYRIY32KQZVG3KFE/,.,
3,6,Diputado,José Pérez,29/12/1940,81,Partido Radical Socialdemócrata,PR,1,C. Maldonado,23/12/2020,https://www.latercera.com/politica/noticia/radicales-proclaman-a-carlos-maldonado-como-su-candidato-presidencial/CDTWMT6TIVFYRIY32KQZVG3KFE/,.,
4,6,Diputado,Alexis Sepúlveda,29/12/1969,52,Partido Radical Socialdemócrata,PR,1,C. Maldonado,23/12/2020,https://www.latercera.com/politica/noticia/radicales-proclaman-a-carlos-maldonado-como-su-candidato-presidencial/CDTWMT6TIVFYRIY32KQZVG3KFE/,.,
5,7,Alcalde,Roberto Jacob,,,Partido Radical Socialdemócrata,PR,1,C. Maldonado,11-06-2021,,,
6,7,Alcalde,Esteban Krause,,,Partido Radical Socialdemócrata,PR,1,C. Maldonado,11-06-2021,,,
7,9,Constituyente,Rodrigo Rojas,,,,IND,1,D. Ancalao,25-06-2021,https://twitter.com/dankalao/status/1405204570939273217,.,
8,7,Alcalde,Mauro Tamayo,,,Independiente,IFP,1,D. Jadue,11-06-2021,,,
9,6,Diputado,Camila Vallejo,28/04/1988,33,Partido Comunista de Chile,PC,1,D. Jadue,28/04/2021,,,
10,6,Diputado,Karol Cariola,01/04/1987,34,Partido Comunista de Chile,PC,1,D. Jadue,28/04/2021,,,
11,6,Diputado,Boris Barrera,03/05/1970,51,Partido Comunista de Chile,PC,1,D. Jadue,28/04/2021,,,
12,6,Diputado,Rubén Moraga,01/07/1965,56,Partido Comunista de Chile,PC,1,D. Jadue,28/04/2021,,,
13,6,Diputado,Carmen Hertz,19/06/1945,76,Partido Comunista de Chile,PC,1,D. Jadue,28/04/2021,,,
14,6,Diputado,Amaro Labra,25/10/1949,72,Partido Comunista de Chile,PC,1,D. Jadue,28/04/2021,,,
15,6,Diputado,Daniel Núñez,07/01/1971,50,Partido Comunista de Chile,PC,1,D. Jadue,28/04/2021,,,
16,6,Diputado,Guillermo Teillier,29/10/1943,78,Partido Comunista de Chile,PC,1,D. Jadue,28/04/2021,,,
17,6,Diputado,Marisela Santibáñez,24/04/1975,46,Partido Comunista de Chile,PC,1,D. Jadue,28/04/2021,,,
18,7,Alcalde,Irací Hassler,06/11/1990,31,Partido Comunista de Chile,PC,1,D. Jadue,21/06/2021,,,
19,8,Candidato,Daniel Jadue,,,Partido Comunista de Chile,PC,1,D. Jadue,21/06/2021,,,
20,9,Constituyente,Carolina Videla,,,,PC,1,D. Jadue,21/06/2021,,,
21,9,Constituyente,Hugo Gutierrez,,,,PC,1,D. Jadue,21/06/2021,,,
22,9,Constituyente,Ericka Portilla,,,,PC,1,D. Jadue,21/06/2021,,,
23,9,Constituyente,Valentina Miranda,,,,PC,1,D. Jadue,21/06/2021,,,
24,9,Constituyente,Barbara Sepulveda,,,,PC,1,D. Jadue,21/06/2021,,,
25,9,Constituyente,Marcos Barraza,,,,PC,1,D. Jadue,21/06/2021,,,
26,9,Constituyente,Carolina Vilches,,,,COM-IND,1,G. Boric,21-06-2021,,,
27,4,Gobernador Reg.,José M. Carvajal,,,Comunes,COM,1,G. Boric,18-06-2021,,,
28,6,Diputado,Camila Rojas,11/03/1991,30,Comunes,COM,1,G. Boric,18-06-2021,,,
29,6,Diputado,Claudia Mix,13/07/1969,52,Comunes,COM,1,G. Boric,18-06-2021,,,
30,6,Diputado,Diego Ibáñez,25/01/1989,32,Convergencia Social,CS,1,G. Boric,28/04/2021,Instagram,,
31,6,Diputado,Gonzalo Winter,06/01/1987,34,Convergencia Social,CS,1,G. Boric,28/04/2021,Instagram,.,
32,6,Diputado,Gael Yeomans,04/12/1988,33,Convergencia Social,CS,1,G. Boric,28/04/2021,Instagram,,
33,7,Alcalde,Valeria Melipillán,,,Convergencia Social,CS,1,G. Boric,11-06-2021,,,
34,8,Candidato,Gabriel Boric,,,Convergencia Social,CS,1,G. Boric,21-06-2021,,,
35,9,Constituyente,Constanza Schonhaut,,,,CS,1,G. Boric,21-06-2021,,,
36,9,Constituyente,Ignacio Achurra,,,,CS,1,G. Boric,21-06-2021,,,
37,9,Constituyente,Jeniffer Mella,,,,CS-IND,1,G. Boric,21-06-2021,,,
38,9,Constituyente,Mariela Serey,,,,CS-IND,1,G. Boric,21-06-2021,,,
39,9,Constituyente,Jaime Bassa,,,,CS-IND,1,G. Boric,21-06-2021,,,
40,9,Constituyente,Damaris Abarca,,,,CS-IND,1,G. Boric,21-06-2021,,,
41,6,Diputado,Marcelo Díaz,06/02/1971,50,Independiente,IND,1,G. Boric,25/06/2021,https://twitter.com/marcelodiazd/status/1407883565413642246,.,
42,5,Senador,Juan I. Latorre,24/03/1978,43,Revolución Democrática,RD,1,G. Boric,28/04/2021,,,
43,6,Diputado,Catalina Pérez,18/12/1990,31,Revolución Democrática,RD,1,G. Boric,28/04/2021,,,
44,6,Diputado,Jorge Brito,12/01/1990,31,Revolución Democrática,RD,1,G. Boric,28/04/2021,,,
45,6,Diputado,Miguel Crispi,09/04/1985,36,Revolución Democrática,RD,1,G. Boric,28/04/2021,,,
46,6,Diputado,Giorgio Jackson,06/02/1987,34,Revolución Democrática,RD,1,G. Boric,28/04/2021,,,
47,6,Diputado,Maite Orsini,23/02/1988,33,Revolución Democrática,RD,1,G. Boric,28/04/2021,,,
48,6,Diputado,Marcela Sandoval,09-02-1974,47,Revolución Democrática,RD,1,G. Boric,28/04/2021,,,
49,7,Alcalde,Tomás Vodanovic,15/10/1990,31,Revolución Democrática,RD,1,G. Boric,21/06/2021,,,
50,7,Alcalde,Carla Amtmann,,,Revolución Democrática,RD,1,G. Boric,21/06/2021,,,
51,7,Alcalde,Emilia Ríos,,,Revolución Democrática,RD,1,G. Boric,21/06/2021,,,
52,7,Alcalde,Macarena Ripamonti,11/07/1991,30,Revolución Democrática,RD,1,G. Boric,21/06/2021,,,
53,9,Constituyente,Maria Oyarzun,,,,RD,1,G. Boric,21/06/2021,,,
54,9,Constituyente,Tatiana Urrutia,,,,RD,1,G. Boric,21/06/2021,,,
55,9,Constituyente,Giovanna Roa,,,,RD,1,G. Boric,21/06/2021,,,
56,9,Constituyente,Amaya Alvez,,,,RD,1,G. Boric,21/06/2021,,,
57,9,Constituyente,Daniel Stingo,,,,RD-IND,1,G. Boric,21/06/2021,,,
58,9,Constituyente,Fernando Atria,,,,RD-IND,1,G. Boric,21/06/2021,,,
